version_source,source_id,title,comment_source,author,date,publisher,signature,language_source,note,mediatype,annote,collection,edition,volume,issue,pages,isbn,issn,address,organization,url,date_format,license_source,doi_source,sourcetype,year,institution,month,booktitle,editor,chapter,journal,series,school,chronic,crossref,key,howpublished,crc_source
0,7374,"Digital erfasste Exzerptensammlung (800-1100, 1300-1821)↵KLIMA.DOC",VO_Import_ID_001,"Grotzfeld, Heinz",2009-04-22,,,,,,,,,,,,,,,,,yyyy-MM-dd,cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,book,2009,"

",4,,,,,,,,,,,db67df3918d35de8803566667a3a5db5
0,7599,"Karteikarten Exzerptensammlung (1100-1299, 1324-1414)",VO_Import_ID_003,"Grotzfeld, Heinz",,,,,,,,,,,,,,,,,,yyyy-MM-dd,cc-by-sa,10.6094/tambora.org/2016/c156/csv.zip,other,,,,,,,,,,,,,,612fc62759a2ca2e2cacf749518c9465
